,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
1872,[-0.1796879],[-0.027],[1.273],[1.3],[1.4526879],[1.3]
1873,[-0.29970458],[0.005],[1.095],[1.09],[1.39470458],[1.09]
1874,[-0.42656484],[-0.012],[0.938],[0.95],[1.36456484],[0.95]
1875,[-0.37953258],[-0.025],[0.855],[0.88],[1.23453258],[0.88]
1876,[-0.13409169],[0.014],[0.814],[0.8],[0.94809169],[0.8]
1877,[-0.10278065],[-0.007],[0.723],[0.73],[0.82578065],[0.73]
1878,[-0.08080251],[0.021],[0.671],[0.65],[0.75180251],[0.65]
1879,[-0.21454108],[-0.174],[0.626],[0.8],[0.84054108],[0.8]
1880,[-0.07453057],[-0.763],[1.557],[2.32],[1.63153057],[2.32]
1881,[-0.42949343],[0.293],[3.503],[3.21],[3.93249343],[3.21]
1882,[0.15752812],[0.461],[3.881],[3.42],[3.72347188],[3.42]
1883,[-0.01927557],[0.077],[3.537],[3.46],[3.55627557],[3.46]
1884,[-0.30204383],[-0.206],[3.184],[3.39],[3.48604383],[3.39]
1885,[-0.25664818],[-0.546],[2.754],[3.3],[3.01064818],[3.3]
1886,[-0.21854354],[-0.591],[2.489],[3.08],[2.70754354],[3.08]
1887,[0.09932876],[-0.258],[2.302],[2.56],[2.20267124],[2.56]
1888,[0.41951475],[-0.358],[2.092],[2.45],[1.67248525],[2.45]
1889,[0.02483289],[-0.468],[3.532],[4.],[3.50716711],[4.]
1890,[1.0472311],[0.534],[5.424],[4.89],[4.37676892],[4.89]
1891,[1.1730777],[1.078],[5.448],[4.37],[4.2749223],[4.37]
1892,[0.70457774],[0.873],[4.253],[3.38],[3.54842226],[3.38]
1893,[0.492502],[0.55],[3.13],[2.58],[2.637498],[2.58]
1894,[0.35602373],[0.322],[2.312],[1.99],[1.95597627],[1.99]
1895,[0.20217071],[-0.004],[1.676],[1.68],[1.47382929],[1.68]
1896,[0.18669069],[-0.059],[1.601],[1.66],[1.41430931],[1.66]
1897,[0.0940707],[0.355],[2.415],[2.06],[2.3209293],[2.06]
1898,[0.4018656],[0.653],[2.573],[1.92],[2.1711344],[1.92]
1899,[0.08566143],[0.069],[1.839],[1.77],[1.75333857],[1.77]
1900,[-0.6160439],[0.156],[2.436],[2.28],[3.05204393],[2.28]
1901,[0.3591566],[0.993],[3.833],[2.84],[3.47384339],[2.84]
1902,[1.0679743],[0.907],[4.237],[3.33],[3.16902567],[3.33]
1903,[0.6864403],[-1.152],[4.128],[5.28],[3.44155971],[5.28]
1904,[0.27314037],[1.933],[13.743],[11.81],[13.46985963],[11.81]
1905,[1.6583561],[6.21],[16.39],[10.18],[14.73164393],[10.18]
1906,[1.3830497],[-0.448],[7.632],[8.08],[6.24895027],[8.08]
1907,[0.57327163],[-0.918],[5.462],[6.38],[4.88872837],[6.38]
1908,[0.35656765],[-0.361],[4.189],[4.55],[3.83243235],[4.55]
1909,[0.11951295],[-0.344],[2.996],[3.34],[2.87648705],[3.34]
1910,[-0.06992108],[-0.185],[2.385],[2.57],[2.45492108],[2.57]
1911,[-0.02210175],[-0.011],[2.079],[2.09],[2.10110175],[2.09]
1912,[-0.07674622],[-0.107],[1.733],[1.84],[1.80974622],[1.84]
1913,[-0.15510468],[-0.081],[1.529],[1.61],[1.68410468],[1.61]
1914,[-0.00213209],[-0.089],[1.421],[1.51],[1.42313209],[1.51]
1915,[-0.40443277],[-0.403],[1.577],[1.98],[1.98143277],[1.98]
1916,[-0.12785329],[0.009],[2.289],[2.28],[2.41685329],[2.28]
1917,[0.05087255],[0.211],[2.341],[2.13],[2.29012745],[2.13]
1918,[-0.06029762],[0.029],[1.999],[1.97],[2.05929762],[1.97]
1919,[-0.2718244],[0.055],[2.295],[2.24],[2.56682439],[2.24]
1920,[0.13687915],[0.181],[2.271],[2.09],[2.13412085],[2.09]
1921,[-0.8920992],[-0.447],[3.373],[3.82],[4.2650992],[3.82]
1922,[0.39624965],[0.338],[4.178],[3.84],[3.78175035],[3.84]
1923,[-0.01681426],[0.19],[3.35],[3.16],[3.36681426],[3.16]
1924,[-0.05064506],[0.015],[2.575],[2.56],[2.62564506],[2.56]
1925,[-0.04886564],[-0.191],[1.909],[2.1],[1.95786564],[2.1]
1926,[-0.06006923],[-0.228],[1.512],[1.74],[1.57206923],[1.74]
1927,[-0.10453316],[-0.153],[1.387],[1.54],[1.49153316],[1.54]
1928,[-0.80160564],[-0.699],[1.871],[2.57],[2.67260564],[2.57]
1929,[-0.3011766],[-0.407],[2.593],[3.],[2.89417661],[3.]
1930,[-0.5752973],[-0.299],[2.871],[3.17],[3.4462973],[3.17]
1931,[-0.22459382],[-0.116],[3.104],[3.22],[3.32859382],[3.22]
1932,[-0.21167286],[0.003],[3.313],[3.31],[3.52467286],[3.31]
1933,[-0.4475842],[0.178],[4.248],[4.07],[4.69558421],[4.07]
1934,[0.5626101],[1.024],[5.034],[4.01],[4.47138991],[4.01]
1935,[0.38437006],[1.385],[5.725],[4.34],[5.34062994],[4.34]
1936,[1.5174435],[2.051],[6.021],[3.97],[4.50355646],[3.97]
1937,[0.77858526],[1.969],[5.099],[3.13],[4.32041474],[3.13]
1938,[0.42700508],[1.59],[4.41],[2.82],[3.98299492],[2.82]
1939,[0.5623635],[1.128],[4.368],[3.24],[3.80563649],[3.24]
1940,[0.56330127],[1.152],[4.972],[3.82],[4.40869873],[3.82]
1941,[1.1413425],[1.714],[5.224],[3.51],[4.08265748],[3.51]
1942,[0.7089806],[1.214],[4.544],[3.33],[3.83501938],[3.33]
1943,[0.3760265],[0.712],[4.132],[3.42],[3.75597349],[3.42]
1944,[0.5325899],[0.042],[4.422],[4.38],[3.88941009],[4.38]
1945,[0.9480568],[0.317],[4.497],[4.18],[3.54894318],[4.18]
1946,[0.57427365],[-0.09],[4.31],[4.4],[3.73572635],[4.4]
1947,[0.4095476],[-0.373],[5.117],[5.49],[4.7074524],[5.49]
1948,[1.1634778],[0.44],[5.12],[4.68],[3.95652222],[4.68]
1949,[0.4811253],[-0.32],[4.57],[4.89],[4.0888747],[4.89]
1950,[0.65959007],[0.14],[4.37],[4.23],[3.71040993],[4.23]
1951,[0.2616204],[0.196],[3.866],[3.67],[3.6043796],[3.67]
1952,[0.11029328],[0.517],[3.487],[2.97],[3.37670672],[2.97]
1953,[0.05781091],[0.586],[3.066],[2.48],[3.00818909],[2.48]
1954,[0.01114327],[0.27],[2.91],[2.64],[2.89885673],[2.64]
1955,[0.01493538],[0.251],[2.781],[2.53],[2.76606462],[2.53]
1956,[0.01643895],[-0.092],[2.898],[2.99],[2.88156105],[2.99]
1957,[0.09158525],[-0.603],[3.687],[4.29],[3.59541475],[4.29]
1958,[0.8015292],[-0.455],[4.325],[4.78],[3.52347077],[4.78]
1959,[0.8487514],[-0.046],[3.814],[3.86],[2.96524857],[3.86]
1960,[0.2484632],[-0.177],[2.773],[2.95],[2.5245368],[2.95]
1961,[0.08621528],[-0.247],[2.023],[2.27],[1.93678472],[2.27]
1962,[0.02043551],[-0.247],[1.543],[1.79],[1.52256449],[1.79]
1963,[-0.00633423],[-0.097],[1.343],[1.44],[1.34933423],[1.44]
1964,[-0.01618542],[-0.046],[1.174],[1.22],[1.19018542],[1.22]
1965,[-0.01798272],[0.005],[1.025],[1.02],[1.04298272],[1.02]
1966,[-0.02080764],[0.023],[0.903],[0.88],[0.92380764],[0.88]
1967,[-0.02078327],[0.092],[0.852],[0.76],[0.87278327],[0.76]
1968,[-0.02071393],[0.132],[0.802],[0.67],[0.82271393],[0.67]
1969,[-0.02109098],[0.145],[0.755],[0.61],[0.77609098],[0.61]
1970,[-0.01906196],[0.143],[0.713],[0.57],[0.73206196],[0.57]
1971,[-0.02035001],[0.154],[0.674],[0.52],[0.69435001],[0.52]
1972,[-0.0187134],[0.154],[0.634],[0.48],[0.6527134],[0.48]
1973,[-0.01844732],[0.146],[0.596],[0.45],[0.61444732],[0.45]
1974,[-0.02741897],[0.133],[0.563],[0.43],[0.59041897],[0.43]
1975,[-0.03165816],[0.159],[0.539],[0.38],[0.57065816],[0.38]
1976,[-0.01740616],[0.164],[0.514],[0.35],[0.53140616],[0.35]
1977,[-0.01891089],[0.164],[0.484],[0.32],[0.50291089],[0.32]
1978,[-0.02026078],[0.156],[0.456],[0.3],[0.47626078],[0.3]
1979,[-0.01984434],[0.15],[0.43],[0.28],[0.44984434],[0.28]
1980,[-0.02063701],[0.135],[0.405],[0.27],[0.42563701],[0.27]
1981,[-0.02003233],[0.121],[0.381],[0.26],[0.40103233],[0.26]
1982,[-0.07149573],[0.056],[0.386],[0.33],[0.45749573],[0.33]
1983,[-0.67063546],[0.346],[0.856],[0.51],[1.52663546],[0.51]
1984,[0.03931528],[0.831],[1.361],[0.53],[1.32168472],[0.53]
1985,[-0.04398177],[0.628],[1.158],[0.53],[1.20198177],[0.53]
1986,[-0.04339081],[0.511],[1.001],[0.49],[1.04439081],[0.49]
1987,[-0.07472228],[0.424],[0.904],[0.48],[0.97872228],[0.48]
1988,[-0.03618788],[0.348],[0.818],[0.47],[0.85418788],[0.47]
