date        time     P_O_Myra_131moh   T_Myra_131moh   T_Myra_131moh          Q_Myra 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
18.08.2006  00:00:00           0.000          15.210          15.210           0.110 
19.08.2006  00:00:00           0.000          14.640          14.640           0.090 
20.08.2006  00:00:00           0.000          14.310          14.310           0.090 
21.08.2006  00:00:00           5.740          14.710          14.710           0.090 
22.08.2006  00:00:00           0.000          12.940          12.940           0.090 
23.08.2006  00:00:00           0.000          13.440          13.440           0.090 
24.08.2006  00:00:00           3.950          15.110          15.110           0.080 
25.08.2006  00:00:00           0.090          14.350          14.350           0.080 
26.08.2006  00:00:00           4.760          14.600          14.600           0.080 
27.08.2006  00:00:00           0.000          13.880          13.880           0.080 
28.08.2006  00:00:00           3.020          14.940          14.940           0.070 
29.08.2006  00:00:00           0.000          15.110          15.110           0.070 
30.08.2006  00:00:00           4.290          14.820          14.820           0.100 
31.08.2006  00:00:00           5.400          14.120          14.120           0.330 
01.09.2006  00:00:00           7.230          12.460          12.460           0.310 
02.09.2006  00:00:00           0.000          12.810          12.810           0.140 
03.09.2006  00:00:00           5.580          12.660          12.660           0.120 
04.09.2006  00:00:00          11.240          12.040          12.040           3.740 
05.09.2006  00:00:00          42.510          11.190          11.190           2.730 
06.09.2006  00:00:00           7.120          10.350          10.350           1.380 
07.09.2006  00:00:00           1.410          10.760          10.760           0.690 
08.09.2006  00:00:00          18.480           9.360           9.360           2.060 
09.09.2006  00:00:00          11.740          10.320          10.320           2.830 
10.09.2006  00:00:00           0.330          12.340          12.340           0.800 
11.09.2006  00:00:00           0.160          11.890          11.890           0.460 
12.09.2006  00:00:00           0.040          12.860          12.860           0.330 
13.09.2006  00:00:00          10.580          13.640          13.640           0.500 
14.09.2006  00:00:00           4.070          14.100          14.100           0.380 
15.09.2006  00:00:00           0.000          15.020          15.020           0.250 
16.09.2006  00:00:00           0.000          15.240          15.240           0.190 
17.09.2006  00:00:00           0.000          14.260          14.260           0.160 
18.09.2006  00:00:00           0.000          13.390          13.390           0.140 
19.09.2006  00:00:00           0.390          11.720          11.720           0.140 
20.09.2006  00:00:00           8.240          12.780          12.780           0.560 
21.09.2006  00:00:00           9.510          12.110          12.110           3.080 
22.09.2006  00:00:00          12.580          13.240          13.240           2.520 
23.09.2006  00:00:00           0.000          14.310          14.310           0.670 
24.09.2006  00:00:00           0.000          13.390          13.390           0.380 
25.09.2006  00:00:00           0.000          12.010          12.010           0.280 
26.09.2006  00:00:00           0.000          12.960          12.960           0.230 
27.09.2006  00:00:00           0.000          13.990          13.990           0.230 
28.09.2006  00:00:00           8.460          11.830          11.830           0.430 
29.09.2006  00:00:00           2.290          11.840          11.840           0.430 
30.09.2006  00:00:00           5.570          11.230          11.230           0.370 
01.10.2006  00:00:00           2.960          11.500          11.500           0.320 
02.10.2006  00:00:00           0.290          10.390          10.390           0.280 
03.10.2006  00:00:00           6.250           9.160           9.160           0.270 
04.10.2006  00:00:00           0.990           8.880           8.880           0.270 
